reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
6d130fcb-47b1-42fc-a032-bf97719ca5a4,Alexander Benkstein,https://play-lh.googleusercontent.com/a-/ALV-UjUScPRYctvqJtDo8Eak8fUhcA3vhyQuaWFp0IXSYy_3YH6GyX1G,"Principally a good app but pretty much unusable if you're using more than one MS account on one device. For Word, Excel and other MS apps it's pretty eas to switch but not for Planner. Why!?",2,0,1.18.36,2026-03-03 15:08:44,,,1.18.36
34f4642b-17ee-463b-ac28-05a902db1cb9,Thomas Watson,https://play-lh.googleusercontent.com/a/ACg8ocLh8-a8xAygziLnp2pTUs6e1BlxCbgzgMyyf9O25o6Xa-uyfw=mo,I like it so far. I'll report in later....,3,0,1.18.36,2026-02-27 11:03:15,,,1.18.36
5a9342d9-8259-4c6f-b8b8-20b1096cf69d,Matt Winter,https://play-lh.googleusercontent.com/a-/ALV-UjX0oSroKnGl7Dq8N9QP4ehkGGBPNqHUQX0RTL65AhW3z76PKQ5B,"It would not load. No real assistance, which is more common these days. There are easier, more reliable apps available. Edit: whats the point? Cant register my device because they cant accept mobiles? Pointless. there would be no stars if that was possible.",1,1,1.18.36,2026-02-27 05:43:15,,,1.18.36
73a714db-ceb1-4b5d-a1af-64d953643ad9,Hugo Arista,https://play-lh.googleusercontent.com/a/ACg8ocKHbuy2yFbJ5AGe3PZXkx5Hdj84pTisYLmQ2E6LqV_pYO6w1A=mo,"My experience with this app has been really good, the only thing is that the tools available on the app are really limited. It would be ideal to have more capabilities to work between diferent plans (moving a card between plans like on the web version)",4,0,1.18.36,2026-02-24 23:49:27,,,1.18.36
79b2321f-1e26-4028-b553-da8b0d8896b4,Laura R,https://play-lh.googleusercontent.com/a-/ALV-UjXMp1jpKbalrYWfxVjbiIvC5uQ0F9zO6E_Brlhx83pdSPr9yjKV-A,"This app is a complete failure. Planner used to be a kanban board app. The mobile version now ignores the board structure and collapses buckets into one list even though they exist and work in the web app. Reinstalling and settings changes don’t fix it because the functionality is simply gone. You can’t manage workflow stages or visualize progress anymore. The website works, Teams works, but the official app can’t display its own data model. Please restore board view or rename the app.",1,1,1.18.33,2026-02-17 05:10:32,,,1.18.33
d099dea6-5641-4700-afc3-dc40a2d0f91f,Raw S. (Rawman),https://play-lh.googleusercontent.com/a-/ALV-UjWI5L_HWQAb6cZMi7Cl7WUZ18VL3_rbQf3zG8eb9S4HRn4fBJh5,Bought the premium planner and this app you cant use all the features. Cant believe a company like Microsoft cant get the basics right,1,4,1.18.33,2026-02-14 01:41:11,,,1.18.33
61fbc41d-b60f-414a-bf28-f815143b2f03,Tom Stevens,https://play-lh.googleusercontent.com/a/ACg8ocLtXAt6NuDKaBmQp23NY3TWjTkDVdX38H8xd-DakaAuxq4rPQ=mo,"would only allow signing in with work or school account, couldn't sign in with personal account. removed since unusable without sign in",1,0,,2026-02-11 22:33:08,,,
4ac63903-d472-44f9-ab03-3ed7b729d402,Untung Sridadi Taurat,https://play-lh.googleusercontent.com/a-/ALV-UjWVBdgytaA1fx3IajycMB9C5BPs0BJUZR8r1Fk1y8HVoj8FUss,extremely helpful. onky challenge is to assign task to my team.,5,0,,2026-02-07 08:58:12,,,
6df70b72-98b0-4eeb-8678-d94f835dca56,Charlie Barrons,https://play-lh.googleusercontent.com/a/ACg8ocIXVOl3mJ52D6JHNyWVZMuedh0A6U-btobakXRhYZ6q2LyhXw=mo,I could not sign in,1,0,,2026-02-06 01:07:58,,,
d3220d31-4f29-4d5b-ad33-291e525fec3f,Joshua Chetty,https://play-lh.googleusercontent.com/a/ACg8ocLohkFCfOgkmK6Y1qNgBGmToAcS_KvqlhuRxv4s71TfVW4EJw=mo,Great tracking tool,5,1,1.18.33,2026-01-29 13:31:35,,,1.18.33
8e90371f-8e53-4cda-be8e-d35bf3be3f98,Stephen Mcmanus,https://play-lh.googleusercontent.com/a-/ALV-UjUU5x6mBk-AUGT3fOxcRQ2tavR24yh5FLkHtTG-HajjGDHGPEX7qQ,love it,5,0,1.18.33,2026-01-28 02:06:35,,,1.18.33
f7161969-d123-4fc9-8de6-66726a5dfef0,Jeremy Voisey,https://play-lh.googleusercontent.com/a-/ALV-UjWf--Ep4kcV1QITEWoHnKSn0Uax2wnl9UzGs7952Qb3_8QDXkKW,I can't see Private tasks,2,0,,2026-01-26 21:04:44,,,
